Deposit Name,Longitude,Latitude,Commodity Group,State
Geko,120.90000,-30.86409,Metal Deposits,WA
George Fisher,139.47201,-20.57105,Metal Deposits,QLD
Glendell,151.07755,-32.45119,Coal,NSW
Golden Age ,120.24600,-26.60180,Metal Deposits,WA
Golden Cities,121.39675,-30.40724,Metal Deposits,WA
Golden Eagle,120.12050,-21.96710,Metal Deposits,WA
Golden Eagle,120.65570,-30.04900,Metal Deposits,WA
Golden Gate,120.41690,-21.80833,Metal Deposits,WA
Golden Grove,116.98480,-28.76290,Metal Deposits,WA
Goonyella,147.96205,-21.79232,Coal,QLD
Gossan Hill,116.96260,-28.77720,Metal Deposits,WA
Gove,136.83702,-12.26112,Bauxite,NT
Granite Belt,151.29045,-28.83055,Metal Deposits,QLD
Granny Smith,122.42300,-28.81200,Metal Deposits,WA
Greenbushes,116.06683,-33.85585,Lithium,WA
Groote Eylandt,136.44555,-13.99216,Metal Deposits,NT
Grosvenor,147.99273,-21.87317,Coal,QLD
Gruyere,123.87800,-28.01060,Metal Deposits,WA
Gwalia,121.33400,-28.91850,Metal Deposits,WA
Hail Creek,148.40681,-21.50538,Coal,QLD
Hamlet,121.81220,-31.40010,Metal Deposits,WA
Haoma,121.91890,-31.01190,Metal Deposits,WA
Hellyer,145.72210,-41.57460,Metal Deposits,TAS
Hera,146.32590,-32.11070,Metal Deposits,NSW
Hermes,118.90980,-25.58450,Metal Deposits,WA
Hey Point,141.89000,-12.73300,Bauxite,QLD
Higginsville,121.73770,-31.73030,Metal Deposits,WA
Homestead,121.22830,-30.54210,Metal Deposits,WA
Hope Downs 1,119.11216,-22.94839,Iron ore,WA
Hope Downs 4,119.57880,-23.14587,Iron ore,WA
Hunter Valley Operations,150.99200,-32.51040,Coal,NSW
Huntly,116.16650,-32.55580,Bauxite,WA
Integra ,151.13498,-32.46884,Coal,NSW
Iron Hill ,117.17536,-29.60332,Iron ore,WA
Iron Valley,119.31710,-22.72010,Iron ore,WA
Isaac Plains,148.10800,-21.99200,Coal,QLD
Jaguar,121.17000,-28.48390,Metal Deposits,WA
Janet Ivy,121.38340,-30.77450,Metal Deposits,WA
Jaurdi,120.92500,-30.68871,Metal Deposits,WA
Jeebropilly,152.65936,-27.62302,Coal,QLD
Jellinbah ,148.95064,-23.40687,Coal,QLD
Jimblebar ,120.13906,-23.37926,Iron ore,WA
Jundee ,120.60410,-26.37250,Metal Deposits,WA
Kalgoorlie (Super Pit),121.50500,-30.77810,Metal Deposits,WA
Kanmantoo,139.00540,-35.09190,Metal Deposits,SA
Kanowna Belle,121.57610,-30.61010,Metal Deposits,WA
Kara,145.77201,-41.31000,Iron ore,TAS
Karara,116.80050,-29.16019,Iron ore,WA
Karari,122.35950,-30.15950,Metal Deposits,WA
Kestrel,148.37031,-23.24197,Coal,QLD
King of the Hills ,121.16300,-28.67150,Metal Deposits,WA
Kings,117.52170,-22.17611,Iron ore,WA
Kogan Creek,150.77263,-26.89572,Coal,QLD
Koolan Island,123.74018,-16.12754,Iron ore,WA
Koolyanobbing,119.53800,-30.83360,Iron ore,WA
Kundana,121.22969,-30.71242,Metal Deposits,WA
Lady Annie,139.04402,-19.77305,Metal Deposits,QLD
Lady Loretta,139.07019,-19.76859,Metal Deposits,QLD
Lake Vermont,148.43851,-22.39900,Coal,QLD
Liddell,150.99988,-32.39160,Coal,NSW
Lorena,140.64870,-20.71870,Metal Deposits,QLD
Loy Yang,146.56400,-38.23470,Coal,VIC
Maddingley,144.44016,-37.70429,Coal,VIC
Mandalong,151.44998,-33.12684,Coal,NSW
Mangoola,150.66999,-32.29684,Coal,NSW
Marandoo,118.13856,-22.63810,Iron ore,WA
Matilda,120.21490,-26.75750,Metal Deposits,WA
Maules Creek,150.15423,-30.54512,Coal,NSW
Maxwells  ,122.19890,-31.08090,Metal Deposits,WA
Maxwells - Inglewood,143.86800,-36.55200,Metal Deposits,VIC
McArthur River,136.09850,-16.43600,Metal Deposits,NT
Meekatharra,118.51390,-26.59101,Metal Deposits,WA
Merlin,136.34511,-16.84795,Diamond,NT
Metropolitan,150.99657,-34.18491,Coal,NSW
Middleback Ranges ,137.15600,-32.99800,Iron ore,SA
Middlemount,148.63163,-22.84813,Coal,QLD
Millennium,148.21300,-22.02500,Coal,QLD
Mineral Hill,146.98700,-32.57700,Metal Deposits,QLD
Minerva,148.04714,-23.92138,Coal,QLD
Mining Area C ,118.96431,-22.92817,Iron ore,WA
Moolarben,149.78500,-32.29000,Coal,NSW
Moorvale,148.35358,-21.99552,Coal,QLD
Moranbah North,147.95674,-21.87133,Coal,QLD
Morning Star ,146.24560,-37.56860,Metal Deposits,VIC
Mount Arthur,150.85614,-32.33702,Coal,NSW
Mount Carbine,145.13188,-16.51830,Metal Deposits,QLD
Mount Carlton,147.56190,-20.27160,Metal Deposits,QLD
Mount Cattlin,120.03800,-33.56241,Lithium,WA
Mount Colin,140.04450,-20.77590,Metal Deposits,QLD
Mount Garnet,145.11260,-17.68490,Metal Deposits,QLD
Mount Gordon,139.36316,-19.69493,Metal Deposits,QLD
Mount Isa ,139.47835,-20.74339,Metal Deposits,QLD
Mount Keith,120.54174,-27.22960,Metal Deposits,WA
Mount Magnet,117.81412,-28.02897,Metal Deposits,WA
Mount Margaret,140.78290,-20.44240,Metal Deposits,QLD
Mount Margaret ,117.81412,-28.02897,Metal Deposits,WA
Mount Marion,121.46110,-31.07380,Lithium,WA
Mount Martin ,121.68250,-31.01280,Metal Deposits,WA
Mount Morgans,122.07720,-28.76500,Metal Deposits,WA
Mount Newman ,119.67779,-23.35574,Iron ore,WA
Mount Owen ,151.09998,-32.38684,Coal,NSW
Mount Pleasant ,150.83998,-32.23684,Coal,NSW
Mount Rawdon,151.76410,-25.27130,Metal Deposits,QLD
Mount Thorley,151.10862,-32.63741,Coal,NSW
Mount Tom Price,117.77140,-22.76350,Iron ore,WA
Mount Watson,139.88877,-19.77171,Metal Deposits,QLD
Mount Webber,119.28900,-21.53700,Iron ore,WA
Mount Weld,122.54752,-28.85995,Rare earth elements,WA
Mount Wright,146.83200,-20.04040,Metal Deposits,QLD
Mountain of Light,138.45128,-30.57893,Metal Deposits,SA
Mungari,121.32280,-30.88757,Metal Deposits,WA
Murrawombie,146.87190,-31.25860,Metal Deposits,
Murrin Murrin,121.89300,-28.76680,Metal Deposits,WA
Muswellbrook,150.94139,-32.24499,Coal,NSW
Myuna,151.56874,-33.06011,Coal,NSW
Nammuldi,117.39530,-22.40687,Iron ore,WA
Narrabri,149.85000,-30.52000,Coal,NSW
Nevoria,119.58350,-31.50670,Metal Deposits,WA
New Acland,151.70783,-27.26963,Coal,QLD
New Cobar,145.85510,-31.51610,Metal Deposits,NSW
New Occidental,145.86400,-31.54030,Metal Deposits,NSW
Newlands,147.90100,-21.25440,Coal,QLD
Nicolson's Find,127.35670,-18.40960,Metal Deposits,WA
North Goonyella - Eaglefield,147.97662,-21.64755,Coal,
North Royal,121.80870,-32.13260,Metal Deposits,WA
Northparkes,148.04980,-32.91350,Metal Deposits,NSW
Nova-Bollinger,123.19241,-31.81989,Metal Deposits,WA
Nullagine,120.15630,-21.95230,Metal Deposits,WA
Oaky Creek,148.49321,-23.04158,Coal,QLD
Olympic Dam,136.88929,-30.43744,Metal Deposits,SA
Ora Banda,121.08900,-30.37190,Metal Deposits,WA
Orion Downs,148.36100,-24.42500,Coal,QLD
Osborne,140.57360,-22.09390,Metal Deposits,QLD
Paddington,121.34370,-30.48500,Metal Deposits,WA
Pajingo,146.46340,-20.54800,Metal Deposits,QLD
Paraburdoo,117.57900,-23.22920,Iron ore,WA
Paulsens,116.24260,-22.57940,Metal Deposits,WA
Peak Downs ,148.17307,-22.21991,Coal,QLD
Peak Mines,145.86913,-31.55394,Metal Deposits,NSW
Perseverance,145.88240,-31.57150,Metal Deposits,NSW
Perseverance,120.69724,-27.78889,Metal Deposits,WA
Pilgangoora (Altura),118.91968,-20.99241,Lithium,WA
Pilgangoora (Pilbara),118.89530,-21.07230,Lithium,WA
Plutonic,119.44370,-25.31710,Metal Deposits,WA
Poitrel,148.23438,-22.04122,Coal,QLD
Porphyry,122.28500,-29.78090,Metal Deposits,WA
Premier,116.28651,-33.39173,Coal,WA
Prohibition,118.50560,-26.60423,Metal Deposits,WA
Prominent Hill,135.57490,-29.72004,Metal Deposits,SA
Ranger,132.91846,-12.67354,Uranium,NT
Rasp,141.45127,-31.96552,Metal Deposits,NSW
Ravenswood,146.87998,-20.09694,Metal Deposits,QLD
Ravensworth ,150.99700,-32.44000,Coal,NSW
Ravensworth East,151.07167,-32.39554,Coal,NSW
Red October,122.41410,-29.21660,Metal Deposits,WA
Renison,145.43400,-41.78240,Metal Deposits,TAS
Revenge,121.74530,-31.28950,Metal Deposits,WA
Rixs Creek,151.12998,-32.52684,Coal,NSW
Robe River,116.24220,-21.74748,Iron ore,WA
Robe Valley,116.47276,-21.70451,Iron ore,WA
Rolleston,148.41060,-24.44406,Coal,QLD
Rose West - Violet,121.26060,-30.53674,Metal Deposits,WA
Rosebery,145.54310,-41.77230,Metal Deposits,TAS
Rosemont,122.27530,-27.83970,Metal Deposits,WA
Roy Hill,120.05777,-22.56219,Iron ore,WA
Rumbles,122.18820,-31.06680,Metal Deposits,WA
Salt Creek,122.02030,-31.10760,Metal Deposits,WA
Sand King,120.96240,-30.21110,Metal Deposits,WA
Santa,122.20280,-31.04560,Metal Deposits,WA
Saraji,148.29105,-22.36938,Coal,QLD
Savage River,145.20443,-41.48798,Iron ore,TAS
Savannah,128.02349,-17.34721,Metal Deposits,WA
Scuddles,116.94360,-28.74520,Metal Deposits,WA
Silvergrass ,117.18516,-22.18330,Iron ore,WA
Sonoma,147.86000,-20.62000,Coal,QLD
South Kalgoorlie,121.61480,-31.03850,Metal Deposits,WA
South Walker Creek,148.44271,-21.77094,Coal,QLD
Southern Cross,119.50270,-31.46600,Metal Deposits,WA
Spotted Quoll,119.67780,-32.47818,Metal Deposits,WA
Springvale,150.10563,-33.40060,Coal,NSW
St Ives,121.74510,-31.32430,Metal Deposits,WA
Stratford,151.97360,-32.11766,Coal,NSW
Sunrise Dam,122.42450,-29.07750,Metal Deposits,WA
Tahmoor,150.57950,-34.25080,Coal,NSW
Tanami - Newmont,129.93360,-20.52560,Metal Deposits,NT
Tarong ,151.91152,-26.81354,Coal,QLD
Tarrawonga,150.16300,-30.63800,Coal,NSW
Telfer,122.21090,-21.72240,Metal Deposits,WA
Thalanga,145.76990,-20.34190,Metal Deposits,QLD
The Peak,145.87780,-31.56530,Metal Deposits,NSW
Thunderbox,121.00540,-28.19200,Metal Deposits,WA
Tomingley,148.20670,-32.58480,Metal Deposits,NSW
Transvaal,122.07660,-28.74950,Metal Deposits,WA
Tritton,146.72160,-31.39560,Metal Deposits,NSW
Tropicana,124.55000,-29.26000,Metal Deposits,WA
Ulan,149.74998,-32.24686,Coal,NSW
Union Reefs,131.79050,-13.71400,Metal Deposits,NT
Vine,121.71990,-31.75610,Metal Deposits,WA
Central Murchison,118.50780,-26.60540,Metal Deposits,WA
Vivien,120.56950,-27.97510,Metal Deposits,WA
WAIO,118.57008,-20.30862,Iron ore,WA
Walhalla ,120.65020,-30.15020,Metal Deposits,WA
Wallaby,122.30550,-28.85180,Metal Deposits,WA
Wallbrook,122.31030,-29.85810,Metal Deposits,WA
Wambo,150.99808,-32.57815,Coal,NSW
Warkworth,151.09016,-32.60701,Coal,NSW
Waroonga,120.50460,-27.00780,Metal Deposits,WA
Wattle Bird,121.05090,-30.51980,Metal Deposits,WA
Weipa,141.87320,-12.66370,Bauxite,QLD
Werris Creek,150.63950,-31.40698,Coal,NSW
West Angelas,118.78829,-23.18855,Iron ore,WA
Western Turner Syncline,117.58630,-22.66220,Iron ore,WA
Whangamata,118.44250,-26.66240,Metal Deposits,WA
Whim Creek,117.83058,-20.84373,Metal Deposits,WA
Whirling Dervish,122.35880,-30.14340,Metal Deposits,WA
White Dam,140.57930,-32.09550,Metal Deposits,SA
White Foil,121.25060,-30.77380,Metal Deposits,WA
Widgiemooltha,121.56400,-31.49467,Metal Deposits,WA
Willowdale,116.06182,-32.84510,Bauxite,WA
Wilpinjong,149.88500,-32.33200,Coal,NSW
Wollombi,147.90100,-21.25440,Coal,QLD
Wombola,121.83170,-30.99870,Metal Deposits,WA
Woodie Woodie,121.23547,-21.63877,Metal Deposits,WA
Woodlawn,149.57168,-35.06132,Metal Deposits,NSW
Worsley,116.45591,-32.92921,Bauxite,WA
Yallourn,146.36040,-38.19506,Coal,VIC
Yandi,119.10333,-22.73484,Iron ore,WA
Yandicoogina,119.21246,-22.76369,Iron ore,WA
Yarrabee,149.02637,-23.31768,Coal,QLD
Zoroastrian,121.28600,-30.33510,Metal Deposits,WA
